name,type1,type2,hp,attack,defense,special-attack,special-defense,speed
hitmonchan,fighting,,50,105,79,35,110,76
lickitung,normal,,90,55,75,60,75,30
koffing,poison,,40,65,95,60,45,35
weezing,poison,,65,90,120,85,70,60
rhyhorn,ground,rock,80,85,95,30,30,25
rhydon,ground,rock,105,130,120,45,45,40
chansey,normal,,250,5,5,35,105,50
tangela,grass,,65,55,115,100,40,60
kangaskhan,normal,,105,95,80,40,80,90
horsea,water,,30,40,70,70,25,60
seadra,water,,55,65,95,95,45,85
goldeen,water,,45,67,60,35,50,63
seaking,water,,80,92,65,65,80,68
staryu,water,,30,45,55,70,55,85
starmie,water,psychic,60,75,85,100,85,115
mr-mime,psychic,fairy,40,45,65,100,120,90
scyther,bug,flying,70,110,80,55,80,105
jynx,ice,psychic,65,50,35,115,95,95
electabuzz,electric,,65,83,57,95,85,105
magmar,fire,,65,95,57,100,85,93
pinsir,bug,,65,125,100,55,70,85
tauros,normal,,75,100,95,40,70,110
magikarp,water,,20,10,55,15,20,80
gyarados,water,flying,95,125,79,60,100,81
lapras,water,ice,130,85,80,85,95,60
ditto,normal,,48,48,48,48,48,48
eevee,normal,,55,55,50,45,65,55
vaporeon,water,,130,65,60,110,95,65
jolteon,electric,,65,65,60,110,95,130
flareon,fire,,65,130,60,95,110,65
porygon,normal,,65,60,70,85,75,40
omanyte,rock,water,35,40,100,90,55,35
omastar,rock,water,70,60,125,115,70,55
kabuto,rock,water,30,80,90,55,45,55
kabutops,rock,water,60,115,105,65,70,80
aerodactyl,rock,flying,80,105,65,60,75,130
snorlax,normal,,160,110,65,65,110,30
articuno,ice,flying,90,85,100,95,125,85
zapdos,electric,flying,90,90,85,125,90,100
moltres,fire,flying,90,100,90,125,85,90
dratini,dragon,,41,64,45,50,50,50
dragonair,dragon,,61,84,65,70,70,70
dragonite,dragon,flying,91,134,95,100,100,80
mewtwo,psychic,,106,110,90,154,90,130
